date,category,time,location
Wednesday 26.06.2024,Hostile aircraft intrusion,02:21,Eilat
Today 25.06.2024,Missiles,19:39,Sufa
Today 25.06.2024,Missiles,15:00,Kerem Shalom
Today 25.06.2024,Hostile aircraft intrusion,14:20,Ramot Naftali
Today 25.06.2024,Hostile aircraft intrusion,14:19,Ramot Naftali
Today 25.06.2024,Hostile aircraft intrusion,14:19,"Ramot Naftali, Mevo'ot Hermon Regional Council, Malkia, Iftach, Dishon"
Today 25.06.2024,Hostile aircraft intrusion,14:19,Malkia
Today 25.06.2024,Hostile aircraft intrusion,14:19,Dishon
Today 25.06.2024,Hostile aircraft intrusion,14:12,Dishon
Today 25.06.2024,Missiles,14:12,Malkia
Today 25.06.2024,Hostile aircraft intrusion,14:12,Dishon
Today 25.06.2024,Hostile aircraft intrusion,14:11,Malkia
Today 25.06.2024,Missiles,13:51,Kerem Shalom
Yesterday 24.06.2024,Missiles,19:27,Kerem Shalom
Yesterday 24.06.2024,Missiles,18:53,"Tzuriel, Zivon, Peki'in, Hurfeish, Sdeh Meron School"
Yesterday 24.06.2024,Hostile aircraft intrusion,18:17,Kela
Yesterday 24.06.2024,Missiles,18:00,"Netiv HaAssara, Karmia, Zikim"
Yesterday 24.06.2024,Missiles,18:00,Mefalsim
Yesterday 24.06.2024,Missiles,17:59,Ashkelon - South
Yesterday 24.06.2024,Missiles,17:59,Ashkelon Southern Industrial Zone
Yesterday 24.06.2024,Missiles,15:29,Kerem Shalom
Yesterday 24.06.2024,Missiles,14:22,"Yevul, Dekel"
Yesterday 24.06.2024,Missiles,14:22,"Sdeh Avraham, Avshalom"
Yesterday 24.06.2024,Missiles,14:21,"Holit, Yated"
Sunday 23.06.2024,Missiles,17:23,Shlomit
Sunday 23.06.2024,Missiles,14:17,Ramot Naftali
Sunday 23.06.2024,Hostile aircraft intrusion,12:12,"Sdeh Eliezer, Amuka, Mishmar HaYarden, Yesud Hama'ala, Hulata, Gadot, Ayelet HaShachar"
Sunday 23.06.2024,Missiles,12:10,Dishon
Sunday 23.06.2024,Missiles,12:09,Dishon
Sunday 23.06.2024,Hostile aircraft intrusion,12:08,"Yir'on, Baram, Avivim"
